incident_id,opened_at,resolved_at,priority,state,category,subcategory,assignment_group,assignee,channel,location,configuration_item,time_to_first_response_minutes,time_to_resolve_minutes,reopen_count,customer_satisfaction,sla_target_minutes,sla_breached
INC100000,2025-05-14 12:36:44,,P3,New,Network,VPN,DevOps,devops.uyskz,Portal,Chennai,Kubernetes-Cluster,31,,0,5.0,1440,False
INC100001,2025-02-21 06:41:18,2025-02-21 08:15:18,P3,Resolved,Software,Error,DevOps,devops.yluln,API,Chennai,Web-Frontend,17,94.0,0,4.0,1440,False
INC100002,2025-05-15 23:57:30,2025-05-16 00:13:30,P4,Resolved,Hardware,Server,Service Desk,service.rcjfo,Phone,Hyderabad,Analytics-ETL,16,16.0,1,4.0,2880,False
INC100003,2025-06-25 20:42:47,2025-06-25 22:39:47,P3,Closed,Software,Deployment,App Support,app.pdpdd,Monitoring,Remote,Email-Server,23,117.0,0,5.0,1440,False
INC100004,2025-04-20 00:03:08,,P4,New,Hardware,Laptop,Security,security.uywsw,Email,Hyderabad,Payments-API,24,,0,,2880,False
INC100005,2025-01-20 02:38:12,,P3,In Progress,Software,Error,Infra,infra.jmyjt,Portal,Chennai,Email-Server,23,,0,5.0,1440,False
INC100006,2024-09-13 20:41:29,2024-09-13 20:59:29,P2,Resolved,Hardware,Server,Analytics,analytics.nzgkx,Phone,Delhi,Cache-Redis,1,18.0,1,,240,False
INC100007,2025-06-24 10:37:10,2025-06-24 11:53:10,P3,Resolved,Hardware,Laptop,Mobile,mobile.laomu,Phone,Chennai,Payments-API,8,76.0,0,5.0,1440,False
INC100008,2025-02-03 19:43:06,2025-02-03 20:10:06,P3,Closed,Software,Error,Analytics,analytics.vafbo,Portal,Hyderabad,Search-Cluster,8,27.0,0,5.0,1440,False
INC100009,2025-06-19 10:04:58,2025-06-19 10:13:58,P4,Resolved,Hardware,Peripheral,Security,security.nuxta,Monitoring,Mumbai,VPN-Gateway,7,9.0,0,5.0,2880,False
